Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_display_name_2026,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1989,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1988,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1986,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1985,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1984,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1983,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1963,affiliation_id_1963,affiliation_country_1963,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1961,affiliation_id_1961,affiliation_country_1961,affiliation_display_name_1960,affiliation_id_1960,affiliation_country_1960,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1957,affiliation_id_1957,affiliation_country_1957,affiliation_display_name_1955,affiliation_id_1955,affiliation_country_1955,affiliation_display_name_1954,affiliation_id_1954,affiliation_country_1954,affiliation_display_name_1937,affiliation_id_1937,affiliation_country_1937,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1934,affiliation_id_1934,affiliation_country_1934,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923,affiliation_display_name_1922,affiliation_id_1922,affiliation_country_1922,affiliation_display_name_1921,affiliation_id_1921,affiliation_country_1921,affiliation_display_name_1918,affiliation_id_1918,affiliation_country_1918,affiliation_display_name_1900,affiliation_id_1900,affiliation_country_1900,affiliation_display_name_1833,affiliation_id_1833,affiliation_country_1833,affiliation_display_name_1815,affiliation_id_1815,affiliation_country_1815,affiliation_display_name_1542,affiliation_id_1542,affiliation_country_1542
Allison Moyer,A5073839779,6,False,False,True,True,United States,,,,Tri-Institutional PhD Program in Chemical Biology,https://openalex.org/I4210100942,United States,Johns Hopkins University Applied Physics Laboratory,https://openalex.org/I2802946424,United States,,,,,,,Weill Cornell Medicine,https://openalex.org/I4387153466,United States,,,,Williams (United States),https://openalex.org/I267592682,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,,,,,,,Johns Hopkins Medicine,https://openalex.org/I2799853436,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Tam,A5038979833,7,False,False,True,True,United States,,,,"University of California, San Francisco",https://openalex.org/I180670191,United States,"University of California, San Francisco",https://openalex.org/I180670191,United States,UCSF Benioff Children's Hospital,https://openalex.org/I4210135903,United States,"University of California, San Francisco",https://openalex.org/I180670191,United States,Baylor College of Medicine,https://openalex.org/I181547552,United States,"University of California, San Francisco",https://openalex.org/I180670191,United States,Texas Children's Hospital,https://openalex.org/I4210147586,United States,Cambridge Scientific (United States),https://openalex.org/I4210087032,United States,Baylor College of Medicine,https://openalex.org/I181547552,United States,Stanford University,https://openalex.org/I97018004,United States,,,,,,,University of Hawaiʻi at Mānoa,https://openalex.org/I117965899,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ally Bennett,A5071630479,1,False,False,False,False,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol Industrial and Research Associates (United Kingdom),https://openalex.org/I4210120504,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Wan,A5122319185,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssa Huang,A5122368565,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou Crookes,A5114628420,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amin Tootoochian,A5114628425,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amin Tootoonchian,A5114628429,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy McDonald Sandjideh,A5122342102,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy Yang,A5122370460,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananya Kumar,A5014379995,5,False,False,True,False,India; Italy; United States,,,,La Maddalena,https://openalex.org/I4210163675,Italy,La Maddalena,https://openalex.org/I4210163675,Italy,Stanford University,https://openalex.org/I97018004,United States,,,,Bharati Vidyapeeth Deemed University,https://openalex.org/I887998513,India,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,India,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Saraiva,A5122341075,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Vallone,A5114628436,1,False,False,True,True,United States,,,,OpenAI (United States),https://openalex.org/I4210161460,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Gheorghe,A5122360807,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrej Karpathy,A5114628442,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Braunstein,A5114628447,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Codispoti,A5114628457,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Duberstein,A5115637743,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Galu,A5114628462,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Kondrich,A5114628466,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Liu,A5122309858,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Schmidt,A5113306270,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Tulloch,A5004459350,2,False,False,True,False,Israel; United States,,,,,,,,,,,,,Meta (United States),https://openalex.org/I4210114444,United States,,,,,,,Meta (Israel),https://openalex.org/I2252078561,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Mereskin,A5122393874,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Mishchenko,A5122310800,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Saraiva,A5082777139,8,False,False,True,False,Australia; Brazil; United States,UNSW Sydney,https://openalex.org/I31746571,Australia,UNSW Sydney,https://openalex.org/I31746571,Australia,UNSW Sydney,https://openalex.org/I31746571,Australia,Water Research Australia,https://openalex.org/I4210097092,Australia,UNSW Sydney,https://openalex.org/I31746571,Australia,Centre for Quantum Computation and Communication Technology,https://openalex.org/I4210096034,Australia,Centre for Quantum Computation and Communication Technology,https://openalex.org/I4210096034,Australia,Fundação Instituto de Pesca do Estado do Rio de Janeiro,https://openalex.org/I4210127091,Brazil,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,Brazil,Universidade Federal do Pará,https://openalex.org/I59606676,Brazil,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,Brazil,Universidade Federal do Pará,https://openalex.org/I59606676,Brazil,University of Wisconsin–Madison,https://openalex.org/I135310074,United States,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,Brazil,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,Brazil,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,Brazil,Centro Latino-Americano e do Caribe de Informação em Ciências da Saúde,https://openalex.org/I4210131006,Brazil,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,Brazil,,,,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrés García García,A5103417126,1,False,False,False,False,Spain,,,,Universitat Politècnica de València,https://openalex.org/I60053951,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitat Politècnica de València,https://openalex.org/I60053951,Spain,Universitat Politècnica de València,https://openalex.org/I60053951,Spain,,,,,,,,,,,,,,,,,,,,,,,,,Universitat Politècnica de València,https://openalex.org/I60053951,Spain,Universitat Politècnica de València,https://openalex.org/I60053951,Spain,Universitat Politècnica de València,https://openalex.org/I60053951,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Applebaum,A5115637747,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Rogerson,A5122369324,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Jiang,A5102493578,2,False,False,True,False,Saudi Arabia; United States,,,,,,,,,,OpenAI (United States),https://openalex.org/I4210161460,United States,Saudi Heart Association,https://openalex.org/I4210103399,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Rajan,A5122344687,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Wei,A5122337087,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anoop Kotha,A5122347998,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Pelisse,A5114628467,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonia Woodford,A5114628468,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
