Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,affiliation_data,unique_affiliation_count,all_usa,some_usa,all_china,some_china,unique_country_count,all_countries,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987
Joseph J. Pfeiffer,1,,https://openalex.org/A5110629518,A5110629518,,Joseph J. Pfeiffer,"J. Pfeiffer, J.J. Pfeiffer, Jonas Pfeiffer, Joseph J. Pfeiffer, Joseph Pfeiffer, Joseph John Pfeiffer",55,476,0.0,12,16,True,6,False,True,False,False,2,"Germany, United States",Zittau/Görlitz University of Applied Sciences,Germany,Zittau/Görlitz University of Applied Sciences,https://openalex.org/I4210148079,Germany,,,,,,,,,,Bellevue Hospital Center,https://openalex.org/I4210108985,United States,,,,,,,Bellevue Hospital Center,https://openalex.org/I4210108985,United States,Microsoft (United States),https://openalex.org/I1290206253,United States,,,,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,,,,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,,,,New Mexico State University,https://openalex.org/I10052268,United States,,,,,,,New Mexico State University,https://openalex.org/I10052268,United States,,,,Motorola (United States),https://openalex.org/I1333370159,United States,,,,,,,New Mexico State University,https://openalex.org/I10052268,United States,,,,,,,,,,,,,,,,,,,New Mexico State University,https://openalex.org/I10052268,United States,New Mexico State University,https://openalex.org/I10052268,United States
Julia Haas,1,,https://openalex.org/A5053872110,A5053872110,https://orcid.org/0000-0002-6040-0669,Julia Haas,"J. Haas, Julia Haas",66,412,1.411764705882353,5,3,True,1,False,False,False,False,1,United Kingdom,DeepMind (United Kingdom),United Kingdom,,,,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun Xie,1,,https://openalex.org/A5101852403,A5101852403,https://orcid.org/0000-0003-0778-7427,Jun Xie,"Jun Xie, J. F. Xie",18,246,0.0,5,2,True,8,False,True,False,True,2,"China, United States",Beijing Normal University,China,Beijing Normal University,https://openalex.org/I25254941,China,Beijing Normal University,https://openalex.org/I25254941,China,Naval University of Engineering,https://openalex.org/I2800710378,China,Naval University of Engineering,https://openalex.org/I2800710378,China,,,,,,,,,,Wuhan University of Technology,https://openalex.org/I196699116,China,Qingdao University of Science and Technology,https://openalex.org/I143413998,China,,,,Ministry of Transport,https://openalex.org/I4210127216,China,,,,United States Naval Academy,https://openalex.org/I189158971,United States,Wuhan National Laboratory for Optoelectronics,https://openalex.org/I4210138186,China,,,,,,,,,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.-Y. Chen,1,,https://openalex.org/A5022123903,A5022123903,,K.-Y. Chen,"Kuiyu Chen, Koert Chen, K‐Y. Chen, K.‐Y. Chen",5,33,0.0,2,1,True,2,False,False,False,False,1,Taiwan,Chung Yuan Christian University,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chung Yuan Christian University,https://openalex.org/I151221077,Taiwan,,,,,,,,,,National Cheng Kung University,https://openalex.org/I91807558,Taiwan,,,,,,,,,,,,,,,,,,,,,,National Cheng Kung University,https://openalex.org/I91807558,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaifeng Chen,1,,https://openalex.org/A5114546921,A5114546921,https://orcid.org/0009-0008-0602-2987,Kaifeng Chen,"Chen Kai‐feng, Kaifeng Chen, Chen KaiFeng",20,83,2.4,6,3,True,3,False,False,True,True,1,China,Chinese Academy of Sciences,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Zhejiang Hisun Pharmaceutical (China),https://openalex.org/I4210127820,China,South China Agricultural University,https://openalex.org/I101479585,China,South China Agricultural University,https://openalex.org/I101479585,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kartikeya Badola,1,,https://openalex.org/A5043460350,A5043460350,,Kartikeya Badola,Kartikeya Badola,15,723,55.8,7,7,True,1,False,False,False,False,1,India,Indian Institute of Technology Delhi,India,,,,,,,,,,Indian Institute of Technology Delhi,https://openalex.org/I68891433,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keran Rong,1,,https://openalex.org/A5026743424,A5026743424,,Keran Rong,Keran Rong,8,793,94.5,5,5,True,1,True,True,False,False,1,United States,Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevis-Kokitsi Maninis,1,,https://openalex.org/A5038897190,A5038897190,https://orcid.org/0000-0003-3776-0049,Kevis-Kokitsi Maninis,"Kevis‐Kokitsi Maninis, K.‐K. Maninis",50,4221,31.88888888888889,18,21,True,4,False,True,False,False,3,"Switzerland, United Kingdom, United States",DeepMind (United Kingdom),United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Board of the Swiss Federal Institutes of Technology,https://openalex.org/I2799323385,Switzerland,,,,,,,Board of the Swiss Federal Institutes of Technology,https://openalex.org/I2799323385,Switzerland,ETH Zurich,https://openalex.org/I35440088,Switzerland,ETH Zurich,https://openalex.org/I35440088,Switzerland,ETH Zurich,https://openalex.org/I35440088,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuang-Huei Lee,1,,https://openalex.org/A5030702181,A5030702181,,Kuang-Huei Lee,Kuang‐Huei Lee,7,31,3.5,3,1,True,1,True,True,False,False,1,United States,Google (United States),United States,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Orseau,1,,https://openalex.org/A5110938957,A5110938957,,Laurent Orseau,"Laurent L. Orseau, Laurent Orseau",84,1470,2.8333333333333335,18,33,True,8,False,False,False,False,4,"Australia, France, Morocco, United Kingdom",DeepMind (United Kingdom),United Kingdom,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,France,Australian National University,https://openalex.org/I118347636,Australia,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,France,AgroParisTech,https://openalex.org/I22248866,France,Institut National de la Recherche Agronomique,https://openalex.org/I1314251682,Morocco,Université Claude Bernard Lyon 1,https://openalex.org/I100532134,France,Université Claude Bernard Lyon 1,https://openalex.org/I100532134,France,Université Claude Bernard Lyon 1,https://openalex.org/I100532134,France,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,France,,,,Institut National des Sciences Appliquées de Lyon,https://openalex.org/I48430043,France,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levi H. S. Lelis,1,,https://openalex.org/A5012035228,A5012035228,https://orcid.org/0000-0003-3560-9345,Levi H. S. Lelis,"Levi Lelis, Levi H. S. Lelis",95,730,1.0,14,27,True,2,False,False,False,False,2,"Brazil, Canada",University of Alberta,Canada,,,,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,Universidade Federal de Viçosa,https://openalex.org/I146165071,Brazil,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,,,,University of Alberta,https://openalex.org/I154425047,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luyang Liu,1,,https://openalex.org/A5025018072,A5025018072,,Luyang Liu,"Luyang Liu, L. C. Liu",2,0,0.0,0,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manfred Diaz,1,,https://openalex.org/A5025430674,A5025430674,,Manfred Diaz,Manfred Diaz,13,156,0.0,5,4,True,2,False,False,False,False,1,Canada,Université de Montréal,Canada,,,,,,,,,,,,,Université de Montréal,https://openalex.org/I70931966,Canada,,,,Université de Montréal,https://openalex.org/I70931966,Canada,,,,Concordia University,https://openalex.org/I60158472,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Hütter,1,,https://openalex.org/A5073944062,A5073944062,https://orcid.org/0000-0002-3263-4097,Marcus Hütter,"Marcus Hutter, M. Hutter, Marcus Hütter",507,6843,1.826086956521739,36,135,True,8,False,True,False,False,5,"Australia, Switzerland, The Netherlands, United Kingdom, United States",Google (United States),United States,Google (United States),https://openalex.org/I1291425158,United States,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Data61,https://openalex.org/I42894916,Australia,Australian National University,https://openalex.org/I118347636,Australia,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Australian National University,https://openalex.org/I118347636,Australia,Australian National University,https://openalex.org/I118347636,Australia,Australian National University,https://openalex.org/I118347636,Australia,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,UNSW Sydney,https://openalex.org/I31746571,Australia,ETH Zurich,https://openalex.org/I35440088,Switzerland,ETH Zurich,https://openalex.org/I35440088,Switzerland,Data61,https://openalex.org/I42894916,Australia,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,Data61,https://openalex.org/I42894916,Australia,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,Leiden University,https://openalex.org/I121797337,The Netherlands,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,,,,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,
Meera Hahn,1,,https://openalex.org/A5055189318,A5055189318,https://orcid.org/0009-0004-1549-088X,Meera Hahn,"Meera Hahn, M Hahn",26,248,2.0,9,8,True,3,False,True,False,False,2,"Germany, United States",Universitätsklinikum Tübingen,Germany,Universitätsklinikum Tübingen,https://openalex.org/I4210094118,Germany,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meredith Ringel Morris,1,,https://openalex.org/A5062285844,A5062285844,https://orcid.org/0000-0003-1436-9223,Meredith Ringel Morris,"M. Morris, M. Ringel Morris, Meredith Ringel Morris, Meredith Morris, M. R. Morris, Merrie Morris, Merrie Ringel Morris, Meredith Ringel Morris",280,16324,28.136363636363637,70,163,True,8,False,True,False,False,3,"The Netherlands, United Kingdom, United States",DeepMind (United Kingdom),United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Columbia University,https://openalex.org/I78577930,United States,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,University of Washington,https://openalex.org/I201448701,United States,Leiden University,https://openalex.org/I121797337,The Netherlands,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,Microsoft (United States),https://openalex.org/I1290206253,United States,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,Microsoft (United States),https://openalex.org/I1290206253,United States,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,University of Washington,https://openalex.org/I201448701,United States,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,,,,,,,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mojtaba Seyedhosseini,1,,https://openalex.org/A5053494387,A5053494387,,Mojtaba Seyedhosseini,"Mojtaba Seyedhosseini, M. Seyedhosseini",33,2013,79.0,16,17,True,2,True,True,False,False,1,United States,Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,University of Utah,https://openalex.org/I223532165,United States,University of Utah,https://openalex.org/I223532165,United States,University of Utah,https://openalex.org/I223532165,United States,University of Utah,https://openalex.org/I223532165,United States,,,,University of Utah,https://openalex.org/I223532165,United States,University of Utah,https://openalex.org/I223532165,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nithish Kannen,1,,https://openalex.org/A5038409403,A5038409403,,Nithish Kannen,Nithish Kannen,4,6,0.5,1,0,True,1,False,False,False,False,1,India,Indian Institute of Technology Kharagpur,India,,,,,,,Indian Institute of Technology Kharagpur,https://openalex.org/I145894827,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Sunehag,1,,https://openalex.org/A5046100176,A5046100176,,Peter Sunehag,"P. Sunehag, Peter Sunehag",87,1889,3.25,14,22,True,7,False,True,False,False,5,"Australia, Russia, Sweden, United Kingdom, United States",DeepMind (United Kingdom),United Kingdom,,,,,,,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,Australian National University,https://openalex.org/I118347636,Australia,Australian National University,https://openalex.org/I118347636,Australia,Data61,https://openalex.org/I42894916,Australia,Australian National University,https://openalex.org/I118347636,Australia,Data61,https://openalex.org/I42894916,Australia,Data61,https://openalex.org/I42894916,Australia,Data61,https://openalex.org/I42894916,Australia,,,,Samara National Research University,https://openalex.org/I3124489027,Russia,,,,Uppsala University,https://openalex.org/I123387679,Sweden,Uppsala University,https://openalex.org/I123387679,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphaël Koster,1,,https://openalex.org/A5082942104,A5082942104,https://orcid.org/0000-0001-5264-3137,Raphaël Koster,"Raphael Köster, Raphael Koster, R. Koster, Raphaël Koster, R. de Koster",70,994,4.333333333333333,15,24,True,8,False,True,False,False,4,"France, Germany, United Kingdom, United States",Google (United States),United States,Google (United States),https://openalex.org/I1291425158,United States,BP (France),https://openalex.org/I4210135021,France,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,University College London,https://openalex.org/I45129253,United Kingdom,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,United Kingdom,National Hospital for Neurology and Neurosurgery,https://openalex.org/I4210151618,United Kingdom,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,United Kingdom,University of Bremen,https://openalex.org/I180437899,Germany,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,United Kingdom,,,,,,,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,United Kingdom,,,,,,,Ministère de l'Économie et des Finances,https://openalex.org/I4210141421,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Galt,1,,https://openalex.org/A5115087384,A5115087384,,Rich Galt,Rich Galt,1,0,0.0,0,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohin Shah,1,,https://openalex.org/A5012971694,A5012971694,https://orcid.org/0000-0002-0656-2800,Rohin Shah,"Rohin Monish Shah, Rohin Shah",47,363,1.3,8,6,True,3,False,True,False,False,2,"United Kingdom, United States",DeepMind (United Kingdom),United Kingdom,,,,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,"University of Maryland, College Park",https://openalex.org/I66946132,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,,,,"University of California, Berkeley",https://openalex.org/I95457486,United States,,,,"University of California, Berkeley",https://openalex.org/I95457486,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Farquhar,1,,https://openalex.org/A5051690066,A5051690066,https://orcid.org/0000-0002-9185-6415,Sebastian Farquhar,Sebastian Farquhar,45,1529,3.7142857142857144,13,17,True,2,False,False,False,False,1,United Kingdom,University of Oxford,United Kingdom,,,,University of Oxford,https://openalex.org/I40120149,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shumeet Baluja,1,,https://openalex.org/A5085643229,A5085643229,https://orcid.org/0000-0002-8696-8711,Shumeet Baluja,"S. Baluja, Shumeet Baluja",142,12598,0.25,45,74,True,4,True,True,False,False,1,United States,Google (United States),United States,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,University of Virginia,https://openalex.org/I51556381,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,Oak Ridge National Laboratory,https://openalex.org/I1289243028,United States,,,,,,
Simon Osindero,1,,https://openalex.org/A5052435039,A5052435039,,Simon Osindero,"Simon Osindero, S Osindero, Simon Kayode Osindero",89,30250,23.875,31,51,True,8,False,True,False,False,4,"Canada, Spain, United Kingdom, United States",Google (United Kingdom),United Kingdom,,,,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Yahoo (United Kingdom),https://openalex.org/I1325784139,United Kingdom,Yahoo (Spain),https://openalex.org/I2800095910,Spain,Yahoo (United States),https://openalex.org/I4210134091,United States,,,,,,,,,,,,,,,,,,,,,,University of Toronto,https://openalex.org/I185261750,Canada,University of Toronto,https://openalex.org/I185261750,Canada,University of Toronto,https://openalex.org/I185261750,Canada,University of Toronto,https://openalex.org/I185261750,Canada,,,,Gatsby Charitable Foundation,https://openalex.org/I2800691815,United Kingdom,,,,University College London,https://openalex.org/I45129253,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soham Ghosh,1,,https://openalex.org/A5017450507,A5017450507,https://orcid.org/0000-0002-6151-8183,Soham Ghosh,Soham Ghosh,35,261,0.6,8,6,True,7,False,True,False,False,4,"India, Singapore, United Kingdom, United States",Black & Veatch (United Kingdom),United Kingdom,Black & Veatch (United Kingdom),https://openalex.org/I4210154899,United Kingdom,SRM Institute of Science and Technology,https://openalex.org/I145286018,India,Jadavpur University,https://openalex.org/I170979836,India,University of Kansas,https://openalex.org/I146416000,United States,Arizona State University,https://openalex.org/I55732556,United States,,,,University of Engineering & Management,https://openalex.org/I1296725772,India,,,,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,,,,Nanyang Technological University,https://openalex.org/I172675005,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Bileschi,1,,https://openalex.org/A5089687759,A5089687759,,Stanley Bileschi,"S. Bileschi, S. M. Bileschi, Stanley M. Bileschi, Stanley Michael Bileschi, Stanley Bileschi",15,2162,0.0,9,9,True,3,True,True,False,False,1,United States,Massachusetts Institute of Technology,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,McGovern Institute for Brain Research,https://openalex.org/I144112489,United States,McGovern Institute for Brain Research,https://openalex.org/I144112489,United States,McGovern Institute for Brain Research,https://openalex.org/I144112489,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,Computational Physics (United States),https://openalex.org/I4210138427,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikrant Varma,1,,https://openalex.org/A5052084048,A5052084048,,Vikrant Varma,"V. Raja Ravi. Varma, Vikrant Varma",12,59,1.5,3,1,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
