Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_data,unique_country_count,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Bowei Zhang,1,,https://openalex.org/A5120751166,A5120751166,,Bowei Zhang,"Bowei Zhang, Zhang, Bowei",1,1,1.0,1,0,0,False,False,False,False,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen Wu,3,,https://openalex.org/A5103178710,A5103178710,https://orcid.org/0009-0005-8791-9689,Bowen Wu,"B. Y. Wu, B.Y. Wu, Bo-Wen Wu, Bochao Wu, Bowen Wu, Wu, B. Y., Wu, Bochao, Wu, Bowen",40,921,31.318181818181817,11,12,6,False,True,True,False,"China, United States",True,2,2025,Inner Mongolia Medical University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I2800372957,China,China Electronics Technology Group Corporation,https://openalex.org/I199305430,China,Nantong University,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I199305430,China,Nantong University,https://openalex.org/I4210128902,United States,Structural Integrity Associates (United States),https://openalex.org/I44673925,China,Inner Mongolia Medical University,,,
Chaofan Lin,1,,https://openalex.org/A5109678287,A5109678287,,Chaofan Lin,"Chaofan Lin, Lin, Chaofan",9,38,5.75,3,2,1,True,True,False,False,China,True,1,2025,North China Electric Power University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I153473198,China,North China Electric Power University,https://openalex.org/I153473198,China,North China Electric Power University,https://openalex.org/I153473198,China,North China Electric Power University,,,
Chen Dong,1,,https://openalex.org/A5100767305,A5100767305,https://orcid.org/0000-0002-0084-9130,Chen Dong,"C Dong, C R Dong, C Rudd, C. Dong, CHEN Dong, Chen Dong, Dong, Chen, Li Ma",376,51782,7.75,112,267,11,False,True,True,False,"China, United States",True,2,2025,Framingham State University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I1344073410,United States,Howard Hughes Medical Institute,,,,https://openalex.org/I32971472,United States,Yale University,https://openalex.org/I58610484,United States,Seattle University,https://openalex.org/I32971472,United States,Yale University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I1343551460,United States,The University of Texas MD Anderson Cancer Center,https://openalex.org/I4210162753,China,First Affiliated Hospital of Jinan University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I1343551460,United States,The University of Texas MD Anderson Cancer Center,https://openalex.org/I919571938,United States,The University of Texas Health Science Center at Houston,https://openalex.org/I919571938,United States,The University of Texas Health Science Center at Houston,https://openalex.org/I4210140680,China,Affiliated Hospital of Hebei University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I9916479,China,Air Force Medical University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I47834966,United States,Framingham State University,,,
Chen Jin,1,,https://openalex.org/A5054729762,A5054729762,https://orcid.org/0000-0001-6803-5785,Chen Jin,"Chen Jin, Chen, Jin, Jin Chen",125,2202,13.15625,22,38,14,False,True,True,False,"Canada, China, United States",True,3,2026,Beijing Institute of Neurosurgery,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I53411278,China,Chengdu University of Traditional Chinese Medicine,,,,https://openalex.org/I53411278,China,Chengdu University of Traditional Chinese Medicine,,,,,,,,,,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I183519381,China,Capital Medical University,https://openalex.org/I4210108133,China,Jiangxi Maternal and Child Health Hospital,https://openalex.org/I4210114339,China,Deyang Stomatological Hospital,https://openalex.org/I4396570617,China,Chinese People's Armed Police Force,https://openalex.org/I2802690428,China,Shanghai Mental Health Center,https://openalex.org/I70931966,Canada,Université de Montréal,https://openalex.org/I92039509,China,Guangzhou Medical University,https://openalex.org/I70931966,Canada,Université de Montréal,https://openalex.org/I4391767653,China,Institute of Basic Medical Sciences of the Chinese Academy of Medical Sciences,https://openalex.org/I2802541053,China,Academy of Military Medical Sciences,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I4210136596,China,First Affiliated Hospital of Anhui Medical University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I4210113914,China,Beijing Institute of Neurosurgery
Chengda Lu,3,,https://openalex.org/A5090328003,A5090328003,https://orcid.org/0000-0002-9452-4053,Chengda Lu,"Chengda Lu, Lu, Chengda",132,1599,13.810344827586206,19,34,5,False,True,True,False,"Australia, China, Rwanda, United States",True,4,2026,Intelligent Automation (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I3124059619,China,China University of Geosciences,https://openalex.org/I57093077,Australia,Swinburne University of Technology,https://openalex.org/I57093077,Australia,Swinburne University of Technology,https://openalex.org/I57093077,Australia,Swinburne University of Technology,https://openalex.org/I4210094879,China,Shandong Institute of Automation,https://openalex.org/I4210127658,Rwanda,Ministry of Natural Resources,https://openalex.org/I4210094879,China,Shandong Institute of Automation,https://openalex.org/I4210094879,China,Shandong Institute of Automation,https://openalex.org/I4210094879,China,Shandong Institute of Automation,https://openalex.org/I4210094879,China,Shandong Institute of Automation,https://openalex.org/I4210130203,United States,Intelligent Automation (United States)
Chenggang Zhao,6,,https://openalex.org/A5079470006,A5079470006,,Chenggang Zhao,"Chenggang Zhao, Zhao, Chenggang",15,1070,76.07692307692308,10,10,2,True,True,False,False,China,True,1,2025,Shandong University of Science and Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I110440473,China,Xi'an University of Science and Technology,https://openalex.org/I110440473,China,Xi'an University of Science and Technology,,,,,,,,,,https://openalex.org/I80143920,China,Shandong University of Science and Technology,https://openalex.org/I80143920,China,Shandong University of Science and Technology,,,
Chengqi Deng,5,,https://openalex.org/A5084839131,A5084839131,,Chengqi Deng,"Chengqi Deng, Deng, Chengqi",18,1389,96.64285714285714,12,12,1,True,True,False,False,China,True,1,2023,Dalian Maritime University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I43313876,China,Dalian Maritime University,https://openalex.org/I43313876,China,Dalian Maritime University,,,,,,,,,
Chenhao Xu,1,,https://openalex.org/A5101012867,A5101012867,,Chenhao Xu,"C. Xu, Canyang Xu, Chenhao Xu, Xu Canyang, Xu, Chenhao",8,17,2.4,2,1,2,True,True,False,False,China,True,1,2026,Northwestern Polytechnical University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210142504,China,Semiconductor Manufacturing International (China),,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I17145004,China,Northwestern Polytechnical University,https://openalex.org/I17145004,China,Northwestern Polytechnical University
Chenyu Zhang,1,,https://openalex.org/A5100377485,A5100377485,https://orcid.org/0000-0002-7137-8954,Chenyu Zhang,"Chenyu ZHANG, Chenyu Zhang, ZHANG, CHENYU, Zhang Chenyu, Zhang, Chenyu",42,321,11.842105263157896,7,6,6,True,True,False,False,China,True,1,2026,Beijing Sport University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I36399199,China,Nanjing University of Science and Technology,,,,https://openalex.org/I4210126065,China,Shanghai Electric (China),,,,,,,,,,https://openalex.org/I43313876,China,Dalian Maritime University,https://openalex.org/I4210126065,China,Shanghai Electric (China),,,,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I181903023,China,Xi'an Shiyou University,https://openalex.org/I87710204,China,Beijing Sport University,https://openalex.org/I87710204,China,Beijing Sport University
Chong Ruan,6,,https://openalex.org/A5019374810,A5019374810,,Chong Ruan,"Chong Ruan, Ruan, Chong",16,422,28.384615384615383,9,9,1,True,True,False,False,China,True,1,2023,Chang'an University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I25355098,China,Chang'an University,https://openalex.org/I25355098,China,Chang'an University,,,,,,,,,
Damai Dai,6,,https://openalex.org/A5020456783,A5020456783,,Damai Dai,"Dai, Damai, Damai Dai",68,2476,68.04545454545455,20,25,4,False,True,False,False,"China, India",True,2,2025,Peking University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I4210136793,China,Peng Cheng Laboratory,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I4210124949,India,Microsoft Research (India),https://openalex.org/I99065089,China,Tsinghua University,,,,https://openalex.org/I20231570,China,Peking University,,,
