Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985
Deli Chen,A5028794611,18,Liaoning Shihua University,https://openalex.org/I166846921,Chongqing Medical University,https://openalex.org/I87780372,Xi'an Jiaotong University,https://openalex.org/I87445476,Tsinghua University,https://openalex.org/I99065089,Agriculture and Food,https://openalex.org/I4210138055,Putian University,https://openalex.org/I64449678,Tsinghua University,https://openalex.org/I99065089,Victoria University,https://openalex.org/I71270174,Victoria University,https://openalex.org/I71270174,Agriculture and Food,https://openalex.org/I4210138055,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,MEI Research (United States),https://openalex.org/I4210101987,Moscow Engineering Physics Institute,https://openalex.org/I887846188,Agriculture and Food,https://openalex.org/I4210138055,"Department of Environment, Land, Water and Planning",https://openalex.org/I4210148235,Putian University,https://openalex.org/I64449678,The University of Melbourne,https://openalex.org/I165779595,Putian University,https://openalex.org/I64449678,National University of Defense Technology,https://openalex.org/I170215575,Department of Land Resource Management,https://openalex.org/I4210113848,The University of Melbourne,https://openalex.org/I165779595,The University of Melbourne,https://openalex.org/I165779595,The University of Melbourne,https://openalex.org/I165779595,Tongji Hospital,https://openalex.org/I4210160344,The University of Melbourne,https://openalex.org/I165779595,The University of Melbourne,https://openalex.org/I165779595,,,,,,,Peking University,https://openalex.org/I20231570,,,Plant Industry,https://openalex.org/I4210152679,,,Plant Industry,https://openalex.org/I4210152679,,,The University of Texas Health Science Center at San Antonio,https://openalex.org/I165951966,Plant Industry,https://openalex.org/I4210152679,,,,,,,,
Zhewen Hao,A5039093405,2,,,Shihezi University,https://openalex.org/I102208913,,,,,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qihao Zhu,A5047271595,4,,,Peking University,https://openalex.org/I20231570,Northeast Forestry University,https://openalex.org/I47689461,Northeast Forestry University,https://openalex.org/I47689461,Hubei University of Education,https://openalex.org/I4210154851,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,Carnegie Mellon University,https://openalex.org/I74973139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,
Shirong Ma,A5057030499,3,,,Air Force Medical University,https://openalex.org/I9916479,Air Force Medical University,https://openalex.org/I9916479,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Air Force Medical University,https://openalex.org/I9916479,,,Air Force Medical University,https://openalex.org/I9916479,Air Force Medical University,https://openalex.org/I9916479,,,Air Force Medical University,https://openalex.org/I9916479,,,Air Force Medical University,https://openalex.org/I9916479,Air Force Medical University,https://openalex.org/I9916479,,,Air Force Medical University,https://openalex.org/I9916479,,,Air Force Medical University,https://openalex.org/I9916479,Air Force Medical University,https://openalex.org/I9916479,Air Force Medical University,https://openalex.org/I9916479,Northwest Normal University,https://openalex.org/I68986083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peiyi Wang,A5058808692,16,,,Northwest A&F University,https://openalex.org/I89652312,Sichuan University of Science and Engineering,https://openalex.org/I64852412,Northwest A&F University,https://openalex.org/I89652312,Lenovo (China),https://openalex.org/I4210156165,Beijing Forestry University,https://openalex.org/I31683504,Guizhou University,https://openalex.org/I178232147,Shandong Jianzhu University,https://openalex.org/I44445938,Bioengineering Center,https://openalex.org/I4210145583,Guizhou University,https://openalex.org/I178232147,Guizhou University,https://openalex.org/I178232147,Shaanxi University of Science and Technology,https://openalex.org/I51622183,Beihang University,https://openalex.org/I82880672,Guizhou University,https://openalex.org/I178232147,Taipei Medical University,https://openalex.org/I47519274,Institute of Microbiology,https://openalex.org/I4210134982,Beihang University,https://openalex.org/I82880672,,,University of Leeds,https://openalex.org/I130828816,,,,,,,University of Sheffield,https://openalex.org/I91136226,University of Sheffield,https://openalex.org/I91136226,,,Johns Hopkins University,https://openalex.org/I145311948,University of Sheffield,https://openalex.org/I91136226,,,,,University of Wisconsin–Madison,https://openalex.org/I135310074,Lomonosov Moscow State University,https://openalex.org/I19880235,,,,,,,,,,,,,,,,,,,,
Daya Guo,A5060364305,4,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,RheinMain University of Applied Sciences,https://openalex.org/I4829542,Harbin Institute of Technology,https://openalex.org/I204983213,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenjun Gao,A5076999126,13,,,Shanxi Normal University,https://openalex.org/I94310126,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Hong Kong,https://openalex.org/I889458895,,,Technical University of Denmark,https://openalex.org/I96673099,East Asia School of Theology,https://openalex.org/I2821654624,China Academy of Space Technology,https://openalex.org/I194716290,Tongji University,https://openalex.org/I116953780,Chongqing University,https://openalex.org/I158842170,Beijing Emergency Medical Center,https://openalex.org/I4210103679,Tongji University,https://openalex.org/I116953780,Chongqing University,https://openalex.org/I158842170,China Academy of Space Technology,https://openalex.org/I194716290,,,Institute of Electronics,https://openalex.org/I4210110458,Henan Polytechnic University,https://openalex.org/I4210166499,Shenyang Aerospace University,https://openalex.org/I125904092,Shenyang Aerospace University,https://openalex.org/I125904092,Beihang University,https://openalex.org/I82880672,,,,,,,,,,,,,,,,,,,Beihang University,https://openalex.org/I82880672,,,,,,,,,,,,,,,,,,,,,,
Chenggang Zhao,A5079470006,2,,,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,,,Xi'an University of Science and Technology,https://openalex.org/I110440473,Xi'an University of Science and Technology,https://openalex.org/I110440473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chengqi Deng,A5084839131,1,,,,,,,Dalian Maritime University,https://openalex.org/I43313876,Dalian Maritime University,https://openalex.org/I43313876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Bi,A5091346174,3,,,Shanghai Ninth People's Hospital,https://openalex.org/I4210097066,,,,,,,,,,,,,,,Rongcheng City People's Hospital,https://openalex.org/I4210147206,,,,,,,,,,,,,,,,,,,,,,,,,,,Tianjin Municipal Research Institute for Family Planning,https://openalex.org/I4210147961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaohui Wang,A5100672230,13,,,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,Collaborative Innovation Center of Chemistry for Energy Materials,https://openalex.org/I4210156571,Indiana University Melvin and Bren Simon Comprehensive Cancer Center,https://openalex.org/I4390039234,Collaborative Innovation Center of Chemistry for Energy Materials,https://openalex.org/I4210156571,Union Hospital,https://openalex.org/I4210163933,Collaborative Innovation Center of Chemistry for Energy Materials,https://openalex.org/I4210156571,Collaborative Innovation Center of Chemistry for Energy Materials,https://openalex.org/I4210156571,Jiangsu Province Hospital,https://openalex.org/I4210152119,China Medical University,https://openalex.org/I91656880,Zhongshan Hospital,https://openalex.org/I4210127074,,,Jiangsu Province Hospital,https://openalex.org/I4210152119,Harbin Science and Technology Bureau,https://openalex.org/I4210135457,Shanghai Medical College of Fudan University,https://openalex.org/I133868755,,,Nanjing Medical University,https://openalex.org/I83519826,Beijing Radiation Center,https://openalex.org/I4210132047,Guangdong Ocean University,https://openalex.org/I79223203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Institute of Diabetes and Digestive and Kidney Diseases,https://openalex.org/I4210090567,,,,,,,,,,,,
Qiushi Du,A5100915390,4,,,Dalian Maritime University,https://openalex.org/I43313876,,,,,Jilin Electric Power Research Institute (China),https://openalex.org/I4210138151,,,Jilin Electric Power Research Institute (China),https://openalex.org/I4210138151,,,,,,,,,Jilin University,https://openalex.org/I194450716,,,Jilin Electric Power Research Institute (China),https://openalex.org/I4210138151,,,Jilin Electric Power Research Institute (China),https://openalex.org/I4210138151,North China Electric Power University,https://openalex.org/I153473198,North China Electric Power University,https://openalex.org/I153473198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwei Xu,A5100966558,3,,,,,,,Fuzhou University,https://openalex.org/I80947539,,,Hohai University,https://openalex.org/I163340411,,,,,,,,,,,Hohai University,https://openalex.org/I163340411,Hohai University,https://openalex.org/I163340411,Hohai University,https://openalex.org/I163340411,,,Hohai University,https://openalex.org/I163340411,Hohai University,https://openalex.org/I163340411,Nanjing University,https://openalex.org/I881766915,,,,,Hohai University,https://openalex.org/I163340411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejian Yang,A5101194950,5,,,,,,,Pharmaron (United Kingdom),https://openalex.org/I4210102587,Microsoft Research Asia (China),https://openalex.org/I4210113369,,,Zhengzhou University of Light Industry,https://openalex.org/I23171815,,,,,,,,,,,,,,,,,Mukhametzhan Tynyshbayev ALT University,https://openalex.org/I4387930291,Tianjin Chengjian University,https://openalex.org/I168673124,Tianjin Chengjian University,https://openalex.org/I168673124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yishi Piao,A5101289777,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuxiang You,A5101289778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Xie,A5101584148,13,,,Chongqing University of Technology,https://openalex.org/I50632499,Shaanxi Provincial People's Hospital,https://openalex.org/I4210160763,Xi'an Medical University,https://openalex.org/I4210107780,First Affiliated Hospital of Xi'an Jiaotong University,https://openalex.org/I4210121771,Beijing Obstetrics and Gynecology Hospital,https://openalex.org/I4210163952,Guangzhou Medical University,https://openalex.org/I92039509,Beijing Obstetrics and Gynecology Hospital,https://openalex.org/I4210163952,First Affiliated Hospital of Xi'an Jiaotong University,https://openalex.org/I4210121771,Nanjing Medical University,https://openalex.org/I83519826,First Affiliated Hospital of Xi'an Jiaotong University,https://openalex.org/I4210121771,Ministry of Education of the People's Republic of China,https://openalex.org/I1327237609,Xi'an Medical University,https://openalex.org/I4210107780,Xi'an Medical University,https://openalex.org/I4210107780,Xi'an Jiaotong University,https://openalex.org/I87445476,Northwest University,https://openalex.org/I37802460,,,,,,,"Women's Hospital, School of Medicine, Zhejiang University",https://openalex.org/I4210137217,Northwest University,https://openalex.org/I37802460,,,Air Force Medical University,https://openalex.org/I9916479,,,,,,,,,,,,,,,,,,,Michigan State University,https://openalex.org/I87216513,,,,,,,,,,,,,,,,
Liyue Zhang,A5101859634,11,First Affiliated Hospital Zhejiang University,https://openalex.org/I4210166576,Ningbo Institute of Industrial Technology,https://openalex.org/I4210165339,First Affiliated Hospital Zhejiang University,https://openalex.org/I4210166576,First Affiliated Hospital Zhejiang University,https://openalex.org/I4210166576,First Hospital of Jilin University,https://openalex.org/I4210125137,Ningbo Institute of Industrial Technology,https://openalex.org/I4210165339,,,Tianjin Polytechnic University,https://openalex.org/I198091727,Hezhou University,https://openalex.org/I4210155828,Hezhou University,https://openalex.org/I4210155828,,,,,,,Wuhan General Hospital of Guangzhou,https://openalex.org/I4210151337,Children’s Health Research Institute,https://openalex.org/I4210136254,Children’s Health Research Institute,https://openalex.org/I4210136254,Children’s Health Research Institute,https://openalex.org/I4210136254,Children’s Health Research Institute,https://openalex.org/I4210136254,,,John D. Dingell VA Medical Center,https://openalex.org/I4210089364,Veterans Health Administration,https://openalex.org/I2799886695,Shanxi Normal University,https://openalex.org/I94310126,,,,,,,,,Kunming Institute of Zoology,https://openalex.org/I18489884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Dong,A5102020713,6,University of Oulu,https://openalex.org/I98381234,University of Oulu,https://openalex.org/I98381234,Southeast University,https://openalex.org/I76569877,University of Oulu,https://openalex.org/I98381234,Politecnico di Milano,https://openalex.org/I93860229,China National Petroleum Corporation (China),https://openalex.org/I98227222,,,Southeast University,https://openalex.org/I76569877,Southeast University,https://openalex.org/I76569877,Southeast University,https://openalex.org/I76569877,,,University of New Brunswick,https://openalex.org/I106938459,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,,,Nanjing University,https://openalex.org/I881766915,,,Nanjing University,https://openalex.org/I881766915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huazuo Gao,A5102602497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhihong Shao,A5103100933,7,,,,,,,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Shanghai Zhabei District Shibei Hospital,https://openalex.org/I4210163591,Shanghai Zhabei District Shibei Hospital,https://openalex.org/I4210163591,175th Hospital of People's Liberation Army,https://openalex.org/I4210130572,,,Tongji Hospital,https://openalex.org/I4210160344,Tongji Hospital,https://openalex.org/I4210160344,Tongji Hospital,https://openalex.org/I4210160344,,,Tongji Hospital,https://openalex.org/I4210160344,,,,,Tongji Hospital,https://openalex.org/I4210160344,Tongji Hospital,https://openalex.org/I4210160344,Tongji Hospital,https://openalex.org/I4210160344,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,University of Michigan–Ann Arbor,https://openalex.org/I27837315,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,,,University of Surrey,https://openalex.org/I28290843,,,,,,,,,,,Hangzhou Medical College,https://openalex.org/I4210165441,,,,,,,,,,,,,,
Bingxuan Wang,A5114179761,2,,,,,Peking University,https://openalex.org/I20231570,,,,,,,Peking University,https://openalex.org/I20231570,,,Agriculture and Forestry University,https://openalex.org/I2801534221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuiping Yu,A5000029432,4,,,First Affiliated Hospital of GuangXi Medical University,https://openalex.org/I4210126060,First Affiliated Hospital of GuangXi Medical University,https://openalex.org/I4210126060,First Affiliated Hospital of GuangXi Medical University,https://openalex.org/I4210126060,First Affiliated Hospital of GuangXi Medical University,https://openalex.org/I4210126060,,,Guilin Medical University,https://openalex.org/I176134282,First Affiliated Hospital of GuangXi Medical University,https://openalex.org/I4210126060,First Affiliated Hospital of GuangXi Medical University,https://openalex.org/I4210126060,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Guilin Medical University,https://openalex.org/I176134282,Guilin Medical University,https://openalex.org/I176134282,Guilin Medical University,https://openalex.org/I176134282,,,Fifth Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210113039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guowei Li,A5001383067,8,University of Northern British Columbia,https://openalex.org/I151934421,Heilongjiang Academy of Sciences,https://openalex.org/I4210092224,University of Northern British Columbia,https://openalex.org/I151934421,National Penghu University of Science and Technology,https://openalex.org/I32078218,National Penghu University of Science and Technology,https://openalex.org/I32078218,,,,,,,Southwest Forestry University,https://openalex.org/I25399270,,,Shanghai University of Finance and Economics,https://openalex.org/I181679659,,,,,Institute of Applied Ecology,https://openalex.org/I4210110024,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuheng Zou,A5002204845,2,West China Hospital of Sichuan University,https://openalex.org/I4210089761,West China Hospital of Sichuan University,https://openalex.org/I4210089761,West China Hospital of Sichuan University,https://openalex.org/I4210089761,,,West China Hospital of Sichuan University,https://openalex.org/I4210089761,,,,,,,,,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaige Gao,A5002755981,4,Yangzhou University,https://openalex.org/I78978612,Nanjing University,https://openalex.org/I881766915,Yangzhou University,https://openalex.org/I78978612,Yangzhou University,https://openalex.org/I78978612,Yangzhou University,https://openalex.org/I78978612,Yangzhou University,https://openalex.org/I78978612,Yangzhou University,https://openalex.org/I78978612,Nanjing University,https://openalex.org/I881766915,Yangzhou University,https://openalex.org/I78978612,Tianjin University,https://openalex.org/I162868743,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Zhengzhou University,https://openalex.org/I38877650,Nanjing University,https://openalex.org/I881766915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
