Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985,affiliation-1984,ID-1984,affiliation-1982,ID-1982,affiliation-1978,ID-1978,affiliation-1975,ID-1975,affiliation-1971,ID-1971,affiliation-1970,ID-1970
Qiwei Pan,A5046824756,9,University of Jinan,https://openalex.org/I34949971,,,,,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,,,South China University of Technology,https://openalex.org/I90610280,Drexel University,https://openalex.org/I72816309,Philadelphia University,https://openalex.org/I922845939,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,Philadelphia University,https://openalex.org/I922845939,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,University of Jinan,https://openalex.org/I34949971,University of Jinan,https://openalex.org/I34949971,Guangxi Hydraulic Power Machinery Research Institute,https://openalex.org/I4210100994,University of Jinan,https://openalex.org/I34949971,Beijing National Laboratory for Molecular Sciences,https://openalex.org/I4210116048,Beijing National Laboratory for Molecular Sciences,https://openalex.org/I4210116048,Beijing National Laboratory for Molecular Sciences,https://openalex.org/I4210116048,Peking University,https://openalex.org/I20231570,,,State Key Laboratory of Crystal Materials,https://openalex.org/I4391768157,State Key Laboratory of Crystal Materials,https://openalex.org/I4391768157,State Key Laboratory of Crystal Materials,https://openalex.org/I4391768157,State Key Laboratory of Crystal Materials,https://openalex.org/I4391768157,State Key Laboratory of Crystal Materials,https://openalex.org/I4391768157,University of Bradford,https://openalex.org/I139894009,,,,,,,University of Bradford,https://openalex.org/I139894009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiyue Gao,A5102148920,4,,,Second Affiliated Hospital of Zhejiang University,https://openalex.org/I4210158318,Shaanxi Normal University,https://openalex.org/I88830068,Northeast Forestry University,https://openalex.org/I47689461,Northeast Forestry University,https://openalex.org/I47689461,,,,,,,,,,,First Affiliated Hospital of Xi'an Jiaotong University,https://openalex.org/I4210121771,First Affiliated Hospital of Xi'an Jiaotong University,https://openalex.org/I4210121771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Gu,A5036632185,6,,,Qufu Normal University,https://openalex.org/I202126657,,,,,,,,,Fudan University,https://openalex.org/I24943067,,,,,,,,,,,"University of California, San Diego",https://openalex.org/I36258959,,,Wipro (Singapore),https://openalex.org/I882086362,,,,,,,,,,,,,,,Nokia (United States),https://openalex.org/I72090969,Nokia (United States),https://openalex.org/I72090969,,,,,,,,,,,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,,,,,,,,,,,,
Qucheng Gong,A5052311554,2,,,,,,,,,,,,,Meta (United States),https://openalex.org/I4210114444,Meta (Israel),https://openalex.org/I2252078561,Meta (Israel),https://openalex.org/I2252078561,Meta (Israel),https://openalex.org/I2252078561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsundar Tanikella,A5120402853,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Shingre,A5120650790,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rucong Wu,A5054978848,1,,,,,,,,,,,China Agricultural University,https://openalex.org/I52158045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Zhang,A5124909476,1,Chongqing Medical University,https://openalex.org/I87780372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruihan Yang,A5114170123,1,,,,,Qufu Normal University,https://openalex.org/I202126657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruihan Zheng,A5101386054,4,First Affiliated Hospital of Wenzhou Medical University,https://openalex.org/I2801769982,East China University of Political Science and Law,https://openalex.org/I78974044,Second Affiliated Hospital of Harbin Medical University,https://openalex.org/I4210132813,Institute of Microelectronics,https://openalex.org/I4210119392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruijue Chen,A5025105486,2,Shandong Agricultural University,https://openalex.org/I74485261,,,Shandong Agricultural University,https://openalex.org/I74485261,Guangxi University of Science and Technology,https://openalex.org/I18570673,Guangxi University of Science and Technology,https://openalex.org/I18570673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruiyuan Huang,A5014540490,2,Fuzhou University,https://openalex.org/I80947539,,,Jinan University,https://openalex.org/I159948400,Jinan University,https://openalex.org/I159948400,Jinan University,https://openalex.org/I159948400,Jinan University,https://openalex.org/I159948400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runjie Zhou,A5113209710,2,,,,,Hubei Engineering University,https://openalex.org/I4210154338,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruobing Han,A5087522518,7,,,Xinxiang Medical University,https://openalex.org/I80626142,Oldham Council,https://openalex.org/I4210164339,,,Shanghai Municipal Center For Disease Control Prevention,https://openalex.org/I4210161402,Shanghai Municipal Center For Disease Control Prevention,https://openalex.org/I4210161402,Shanghai Municipal Center For Disease Control Prevention,https://openalex.org/I4210161402,Northeast Forestry University,https://openalex.org/I47689461,,,Shenyang Pharmaceutical University,https://openalex.org/I103890011,,,State Key Laboratory of Food Science and Technology,https://openalex.org/I4210152154,,,East China Normal University,https://openalex.org/I66867065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruoyu Qin,A5026524915,3,,,Yunnan Metallurgical Group (China),https://openalex.org/I4210149647,Kunming University,https://openalex.org/I146071755,Kunming University,https://openalex.org/I146071755,Nantong University,https://openalex.org/I199305430,Nantong University,https://openalex.org/I199305430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. H. Cai,A5124897615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shangyi Geng,A5124944096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaoguang Mao,A5052035563,2,,,Microsoft Research Asia (China),https://openalex.org/I4210113369,Microsoft Research Asia (China),https://openalex.org/I4210113369,Microsoft Research Asia (China),https://openalex.org/I4210113369,Microsoft Research Asia (China),https://openalex.org/I4210113369,Microsoft Research Asia (China),https://openalex.org/I4210113369,Microsoft Research Asia (China),https://openalex.org/I4210113369,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaojie Zheng,A5102023520,8,Dalian University of Technology,https://openalex.org/I27357992,Fujian Agriculture and Forestry University,https://openalex.org/I61057504,Fujian Agriculture and Forestry University,https://openalex.org/I61057504,Fujian Agriculture and Forestry University,https://openalex.org/I61057504,Northwest A&F University,https://openalex.org/I89652312,Yanshan University,https://openalex.org/I39333907,,,China University of Mining and Technology,https://openalex.org/I25757504,Beihang University,https://openalex.org/I82880672,,,,,,,,,,,Jinan University,https://openalex.org/I159948400,Jinan University,https://openalex.org/I159948400,,,,,,,,,,,,,,,,,Ōtani University,https://openalex.org/I4210162928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaowei Liu,A5102884727,1,,,,,University of Science and Technology Beijing,https://openalex.org/I92403157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shengjie Wang,A5124906033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shengjun Fang,A5113281925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shengling Ma,A5100634991,4,Baylor College of Medicine,https://openalex.org/I181547552,Hunan Province Chest Hospital,https://openalex.org/I4210137153,Baylor College of Medicine,https://openalex.org/I181547552,Baylor College of Medicine,https://openalex.org/I181547552,Zhejiang University,https://openalex.org/I76130692,Huazhong University of Science and Technology,https://openalex.org/I47720641,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shengyuan Shi,A5124895120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shifeng Cao,A5004321335,9,,,University of Science and Technology Beijing,https://openalex.org/I92403157,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I9842412,Harbin Medical University,https://openalex.org/I156144747,Zhejiang Wanli University,https://openalex.org/I1315279114,Guiyang University,https://openalex.org/I4210116001,Zhejiang Wanli University,https://openalex.org/I1315279114,University of Adelaide,https://openalex.org/I5681781,University of Adelaide,https://openalex.org/I5681781,,,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Nanjing Institute of Agricultural Mechanization,https://openalex.org/I4210166367,Fudan University,https://openalex.org/I24943067,Nanjing Agricultural University,https://openalex.org/I119454577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiyuan Teng,A5124923166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuai Zhao,A5124912181,1,Naval University of Engineering,https://openalex.org/I2800710378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shudong Liu,A5124893220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shupeng Wei,A5030311739,2,,,,,,,,,,,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,,,,,,,,,,,,,,,,,,,,,Hebei Agricultural University,https://openalex.org/I108160477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuran Liu,A5124901290,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuyi Wang,A5103113484,1,,,Communication University of China,https://openalex.org/I75689368,,,Communication University of China,https://openalex.org/I75689368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si Wang,A5124926926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siying Huang,A5104280720,9,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,Southern Medical University,https://openalex.org/I58200834,Ministry of Agriculture and Rural Affairs,https://openalex.org/I4210151987,Guangdong Food and Drug Vocational College,https://openalex.org/I4210152216,,,Chengdu University of Traditional Chinese Medicine,https://openalex.org/I53411278,South China University of Technology,https://openalex.org/I90610280,Shantou University,https://openalex.org/I32574673,Public Health Ontario,https://openalex.org/I4210125326,,,Public Health Ontario,https://openalex.org/I4210125326,,,Michigan United,https://openalex.org/I4210111179,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,University of Michigan–Ann Arbor,https://openalex.org/I27837315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,,,,,,,,,,,,,,,,,,,,,,
Siyuan Pan,A5124952339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sui Lin,A5100525839,9,,,Taizhou University,https://openalex.org/I82760581,Artificial Intelligence in Medicine (Canada),https://openalex.org/I4210164862,Hangzhou Cancer Hospital,https://openalex.org/I4210165815,Cygnus (United States),https://openalex.org/I4210128932,,,,,,,,,Guangdong University of Technology,https://openalex.org/I139024713,,,Cincinnati Children's Hospital Medical Center,https://openalex.org/I1285204247,,,Second Affiliated Hospital of Shantou University Medical College,https://openalex.org/I4210121200,,,,,,,Concordia University,https://openalex.org/I60158472,Concordia University,https://openalex.org/I60158472,Concordia University,https://openalex.org/I60158472,,,,,Concordia University,https://openalex.org/I60158472,Concordia University,https://openalex.org/I60158472,Concordia University,https://openalex.org/I60158472,Concordia University,https://openalex.org/I60158472,,,,,,,,,,,,,,,,,,,,,Concordia University,https://openalex.org/I60158472,,,,,,,Concordia University,https://openalex.org/I60158472,,,Concordia University,https://openalex.org/I60158472,Concordia University,https://openalex.org/I60158472,,,Concordia University,https://openalex.org/I60158472,University of Toronto,https://openalex.org/I185261750,,
Suting Xu,A5124967644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tao Jiang,A5100648261,17,,,University of Lübeck,https://openalex.org/I9341345,Nanchang Hangkong University,https://openalex.org/I927504317,Northeastern University,https://openalex.org/I9224756,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I9842412,Northeastern University,https://openalex.org/I9224756,Huazhong University of Science and Technology,https://openalex.org/I47720641,Beijing Normal University,https://openalex.org/I25254941,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I9842412,Chengdu University,https://openalex.org/I4210125143,Chengdu University of Information Technology,https://openalex.org/I24201400,Harbin Engineering University,https://openalex.org/I151727225,Chengdu University of Information Technology,https://openalex.org/I24201400,Xi'an Jiaotong University,https://openalex.org/I87445476,University of Science and Technology Beijing,https://openalex.org/I92403157,Harbin Institute of Technology,https://openalex.org/I204983213,,,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,,,China University of Geosciences (Beijing),https://openalex.org/I3125743391,Zhengzhou University of Light Industry,https://openalex.org/I23171815,Zhengzhou University of Light Industry,https://openalex.org/I23171815,Stanford University,https://openalex.org/I97018004,,,,,,,,,,,Sentient Science (United States),https://openalex.org/I4210120592,City College of New York,https://openalex.org/I125687163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tao Yu,A5100596110,5,,,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Nanjing University,https://openalex.org/I881766915,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalian Maritime University,https://openalex.org/I43313876,Fuzhou University,https://openalex.org/I80947539,Dalian Maritime University,https://openalex.org/I43313876,University of Electronic Science and Technology of China,https://openalex.org/I150229711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tengyang Zheng,A5109688160,1,,,,,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianhui Song,A5091391590,3,,,,,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Fudan University,https://openalex.org/I24943067,,,,,,,Central South University,https://openalex.org/I139660479,,,Central South University,https://openalex.org/I139660479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianwei Liu,A5124911787,1,Beihang University,https://openalex.org/I82880672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianxiang Yu,A5124880424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianxiao Shen,A5006131913,4,,,,,,,Nanjing Normal University,https://openalex.org/I152031979,Columbia University,https://openalex.org/I78577930,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianyu Liu,A5124899375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tong Gao,A5124945874,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongtong Bai,A5075487596,1,,,,,Heilongjiang Bayi Agricultural University,https://openalex.org/I4210124184,,,Heilongjiang Bayi Agricultural University,https://openalex.org/I4210124184,Heilongjiang Bayi Agricultural University,https://openalex.org/I4210124184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongxu Luo,A5124873523,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongyu Sun,A5124970229,1,Anhui University of Traditional Chinese Medicine,https://openalex.org/I253932293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. He,A5014305191,8,,,Southwest Jiaotong University,https://openalex.org/I4800084,Institute of Modern Physics,https://openalex.org/I4210131271,Abilene Christian University,https://openalex.org/I60205797,Stony Brook University,https://openalex.org/I59553526,Institute of Modern Physics,https://openalex.org/I4210131271,Abilene Christian University,https://openalex.org/I60205797,,,Institute of Modern Physics,https://openalex.org/I4210131271,Institute of Modern Physics,https://openalex.org/I4210131271,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,Indiana University Bloomington,https://openalex.org/I4210119109,Indiana University Bloomington,https://openalex.org/I4210119109,Indiana University Bloomington,https://openalex.org/I4210119109,University of Birmingham,https://openalex.org/I79619799,Carnegie Mellon University,https://openalex.org/I74973139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wei Chu,A5101781459,14,,,Northeastern University,https://openalex.org/I9224756,Southeast University,https://openalex.org/I76569877,Affiliated Hospital of Hangzhou Normal University,https://openalex.org/I4210103863,Renmin University of China,https://openalex.org/I78988378,Chengdu University,https://openalex.org/I4210125143,Shandong Academy of Sciences,https://openalex.org/I4210142748,Chengdu University,https://openalex.org/I4210125143,Dalian National Laboratory for Clean Energy,https://openalex.org/I4210137700,Pioneer Natural Resources (United States),https://openalex.org/I4401726756,Sichuan University of Science and Engineering,https://openalex.org/I64852412,Sichuan Research Center of New Materials,https://openalex.org/I4210156034,Tsinghua University,https://openalex.org/I99065089,Saudi Arabia Basic Industries (Saudi Arabia),https://openalex.org/I4210135984,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,,,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,,,University of Science and Technology Beijing,https://openalex.org/I92403157,,,,,Carnegie Mellon University,https://openalex.org/I74973139,University of Science and Technology Beijing,https://openalex.org/I92403157,,,,,,,,,,,,,,,,,,
Wei J. Wang,A5124896764,1,Ministry of Industry and Information Technology,https://openalex.org/I890469752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wei Song,A5019370942,14,University College London,https://openalex.org/I45129253,Nanjing Medical University,https://openalex.org/I83519826,Shandong First Medical University,https://openalex.org/I4210163399,Hunan Provincial People's Hospital,https://openalex.org/I4210147389,First Hospital of Jilin University,https://openalex.org/I4210125137,Hunan Provincial People's Hospital,https://openalex.org/I4210147389,Weill Cornell Medicine,https://openalex.org/I4387153466,University of Bologna,https://openalex.org/I9360294,Central Hospital of Zibo,https://openalex.org/I4210150072,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Ithaca College,https://openalex.org/I87424562,First Hospital of Jilin University,https://openalex.org/I4210125137,Nanjing University,https://openalex.org/I881766915,National Institute for Materials Science,https://openalex.org/I205401836,Tianjin University of Technology,https://openalex.org/I136765683,Nanjing University,https://openalex.org/I881766915,Chinese PLA General Hospital,https://openalex.org/I2802939634,Chinese PLA General Hospital,https://openalex.org/I2802939634,Nanjing University,https://openalex.org/I881766915,Chinese PLA General Hospital,https://openalex.org/I2802939634,,,,,,,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weihao Gao,A5036598136,1,,,,,,,Shandong University,https://openalex.org/I154099455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weihao Zeng,A5113392262,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weihong Li,A5124913159,1,Guangzhou Electronic Technology (China),https://openalex.org/I4210150595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weilong Liao,A5124905247,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weiming Zhong,A5124884308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weiran He,A5124938288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
