Author,OA_ID,unique_affiliation_count,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1997,ID-1997,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1989,ID-1989
Tianyu Sun,A5015475948,1,,,Kuaishou (China),https://openalex.org/I4401726859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bei Feng,A5016665033,1,,,,,,,,,,,,,,,,,,,Northwest A&F University,https://openalex.org/I89652312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuting Yan,A5019540330,2,Hohai University,https://openalex.org/I163340411,,,,,,,Thermal Power Research Institute,https://openalex.org/I4210123254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Power Research Institute,https://openalex.org/I4210123254
Jiaqi Ni,A5019579257,2,,,,,,,,,Beijing Institute of Technology,https://openalex.org/I125839683,Delft University of Technology,https://openalex.org/I98358874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lei Xu,A5020790434,4,,,Chengdu University of Technology,https://openalex.org/I31595395,Beijing Jiaotong University,https://openalex.org/I21193070,Wuhan Science and Technology Bureau,https://openalex.org/I4210099912,Wuhan University,https://openalex.org/I37461747,Wuhan University,https://openalex.org/I37461747,Wuhan University,https://openalex.org/I37461747,Wuhan University,https://openalex.org/I37461747,Wuhan University,https://openalex.org/I37461747,Wuhan University,https://openalex.org/I37461747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wei An,A5021639941,5,,,Second Military Medical University,https://openalex.org/I177933477,Pfizer (United States),https://openalex.org/I180857899,Second Military Medical University,https://openalex.org/I177933477,Hengshui University,https://openalex.org/I164946172,Second Military Medical University,https://openalex.org/I177933477,Second Military Medical University,https://openalex.org/I177933477,Second Military Medical University,https://openalex.org/I177933477,Second Military Medical University,https://openalex.org/I177933477,Capital Medical University,https://openalex.org/I183519381,Capital Medical University,https://openalex.org/I183519381,Second Military Medical University,https://openalex.org/I177933477,,,Second Military Medical University,https://openalex.org/I177933477,Second Military Medical University,https://openalex.org/I177933477,,,,,Capital University,https://openalex.org/I139787848,,,,,,,Capital University,https://openalex.org/I139787848,,,,,,,,,,,,,,,,,,
Zhipeng Xu,A5024958662,2,,,Shanxi Medical University,https://openalex.org/I17721919,,,,,Shaanxi Provincial People's Hospital,https://openalex.org/I4210090354,,,Shanxi Medical University,https://openalex.org/I17721919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miaojun Wang,A5026325208,7,Wuhan University of Technology,https://openalex.org/I196699116,Applied Materials (United States),https://openalex.org/I193427800,Applied Materials (United States),https://openalex.org/I193427800,Applied Materials (United States),https://openalex.org/I193427800,,,,,,,,,Cancer Hospital of Shantou University Medical College,https://openalex.org/I4210091098,North Minzu University,https://openalex.org/I3019309368,Zhejiang University of Finance and Economics,https://openalex.org/I90727586,Cancer Hospital of Shantou University Medical College,https://openalex.org/I4210091098,,,,,,,"University of California, Santa Barbara",https://openalex.org/I154570441,,,,,,,,,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,,,,,,,,,,,,,,,,,,
Yuchen Zhu,A5033494277,2,,,Shanghai Institute of Microsystem and Information Technology,https://openalex.org/I4210147322,Shanghai Institute of Microsystem and Information Technology,https://openalex.org/I4210147322,Shanghai Institute of Microsystem and Information Technology,https://openalex.org/I4210147322,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lean Wang,A5034611488,1,,,,,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhibin Gou,A5034928588,2,,,,,Tsinghua University,https://openalex.org/I99065089,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaosha Chen,A5036491343,2,,,Taiyuan University of Technology,https://openalex.org/I9086337,University of Electronic Science and Technology of China,https://openalex.org/I150229711,,,University of Electronic Science and Technology of China,https://openalex.org/I150229711,University of Electronic Science and Technology of China,https://openalex.org/I150229711,University of Electronic Science and Technology of China,https://openalex.org/I150229711,University of Electronic Science and Technology of China,https://openalex.org/I150229711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruyi Chen,A5036645286,1,,,,,,,,,,,Zhejiang Chinese Medical University,https://openalex.org/I114539943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zilin Li,A5042358680,7,China Three Gorges Corporation (China),https://openalex.org/I160674187,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,https://openalex.org/I14243506,Tsinghua University,https://openalex.org/I99065089,Shenzhen University,https://openalex.org/I180726961,Hong Kong Polytechnic University,https://openalex.org/I14243506,Shanghai University of Electric Power,https://openalex.org/I23632641,Hong Kong Polytechnic University,https://openalex.org/I14243506,,,,,,,,,,,,,Wuhan University of Technology,https://openalex.org/I196699116,,,Beijing Vaccum Electronic Research Institute,https://openalex.org/I4210143193,,,,,,,,,,,,,,,,,,,,,,,,,,
Dongjie Ji,A5043755032,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wuhan University,https://openalex.org/I37461747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuduan Wang,A5047265939,1,,,National University of Singapore,https://openalex.org/I165932596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ning Tian,A5053537379,2,Xi'an University of Architecture and Technology,https://openalex.org/I148099405,"University of Architecture, Civil Engineering and Geodesy",https://openalex.org/I206451062,Xi'an University of Architecture and Technology,https://openalex.org/I148099405,Xi'an University of Architecture and Technology,https://openalex.org/I148099405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinyu Yang,A5055963260,6,Hefei University of Technology,https://openalex.org/I16365422,Nanchang University,https://openalex.org/I141649914,State Key Laboratory of Automotive Simulation and Control,https://openalex.org/I4392738231,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,Hefei University,https://openalex.org/I39774598,Xidian University,https://openalex.org/I149594827,Xidian University,https://openalex.org/I149594827,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,,,,,,,Dalian University,https://openalex.org/I4210092944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaohan Wang,A5056359676,3,Shanghai Jiao Tong University,https://openalex.org/I183067930,State Key Laboratory of Digital Medical Engineering,https://openalex.org/I4387154005,"China University of Petroleum, Beijing",https://openalex.org/I204553293,"China University of Petroleum, Beijing",https://openalex.org/I204553293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yixuan Tan,A5063984048,1,,,Shanghai Changzheng Hospital,https://openalex.org/I4210099558,Shanghai Changzheng Hospital,https://openalex.org/I4210099558,Shanghai Changzheng Hospital,https://openalex.org/I4210099558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ying Tang,A5068378063,5,,,University Research Co (United States),https://openalex.org/I4210125903,Qingdao University of Science and Technology,https://openalex.org/I143413998,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,China XD Group (China),https://openalex.org/I4210141776,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,China XD Group (China),https://openalex.org/I4210141776,China XD Group (China),https://openalex.org/I4210141776,Xi'an Shiyou University,https://openalex.org/I181903023,Xi'an Shiyou University,https://openalex.org/I181903023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. X. Zhu,A5068383472,2,,,Xi'an Shiyou University,https://openalex.org/I181903023,,,,,,,,,,,Xiamen University,https://openalex.org/I191208505,,,,,Xiamen University,https://openalex.org/I191208505,,,,,,,,,,,,,,,,,,,,,,,,,Xiamen University,https://openalex.org/I191208505,,,,,,,,,,,,,,
Yaohui Li,A5082760644,1,,,Shaanxi University of Science and Technology,https://openalex.org/I51622183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhuoshu Li,A5086080455,2,,,,,,,,,,,,,,,,,,,,,,,,,University of Southern California,https://openalex.org/I1174212,Beihang University,https://openalex.org/I82880672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinnan Song,A5090535931,2,,,,,,,,,,,Tianjin University,https://openalex.org/I162868743,,,,,,,,,,,,,,,,,,,,,,,,,,,Shanghai Jian Qiao University,https://openalex.org/I4210154361,,,,,,,,,,,,,,,,,,,,,,
Yongqiang Guo,A5100298247,7,,,Jiangsu University,https://openalex.org/I115592961,Northwestern Polytechnical University,https://openalex.org/I17145004,University of Science and Technology Beijing,https://openalex.org/I92403157,,,Children's Hospital of Chongqing Medical University,https://openalex.org/I4210159428,,,,,,,,,,,,,,,,,,,,,,,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,China General Nuclear Power Corporation (China),https://openalex.org/I4210097777,,,,,,,,,Graduate School USA,https://openalex.org/I880766802,,,,,,,,,,,,,,
Mingming Li,A5100338776,4,Sichuan University,https://openalex.org/I24185976,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Ningxia Medical University General Hospital,https://openalex.org/I4210139449,Chengdu University,https://openalex.org/I4210125143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi Zheng,A5100342733,4,,,China University of Mining and Technology,https://openalex.org/I25757504,Peking University,https://openalex.org/I20231570,Nanjing Tech University,https://openalex.org/I134687103,,,,,University of Hong Kong,https://openalex.org/I889458895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peng Zhang,A5100364050,4,Shenzhen University,https://openalex.org/I180726961,Heilongjiang University,https://openalex.org/I55022517,Shandong University of Science and Technology,https://openalex.org/I80143920,Shenzhen University,https://openalex.org/I180726961,Shandong University,https://openalex.org/I154099455,Shenzhen University,https://openalex.org/I180726961,Shenzhen University,https://openalex.org/I180726961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhen Zhang,A5100390145,7,Otsuka (United States),https://openalex.org/I4210086062,Chinese University of Hong Kong,https://openalex.org/I177725633,Second Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210100868,Dalian Medical University,https://openalex.org/I191996457,South China Agricultural University,https://openalex.org/I101479585,,,South China Agricultural University,https://openalex.org/I101479585,Dalian Medical University,https://openalex.org/I191996457,,,,,Johns Hopkins University,https://openalex.org/I145311948,,,,,Johns Hopkins University,https://openalex.org/I145311948,,,,,Beijing Forestry University,https://openalex.org/I31683504,,,,,,,,,Johns Hopkins University,https://openalex.org/I145311948,,,,,,,,,,,,,,,,,,
Hui Li,A5100637295,7,Chinese Academy of Meteorological Sciences,https://openalex.org/I4210133131,State Key Laboratory of Space Weather,https://openalex.org/I4391768066,State Key Laboratory of Space Weather,https://openalex.org/I4391768066,Shanghai Institute of Technical Physics,https://openalex.org/I4210135723,National Astronomical Observatories,https://openalex.org/I4210164580,State Key Laboratory of Space Weather,https://openalex.org/I4391768066,Harbin Institute of Technology,https://openalex.org/I204983213,Shanghai Institute of Technical Physics,https://openalex.org/I4210135723,National Space Science Center,https://openalex.org/I4210115570,National Space Science Center,https://openalex.org/I4210115570,National Space Science Center,https://openalex.org/I4210115570,,,,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaoxiang Wang,A5100679200,8,Hebei University of Technology,https://openalex.org/I184843921,Shanghai Jiao Tong University,https://openalex.org/I183067930,Xi'an Shiyou University,https://openalex.org/I181903023,Shenzhen Polytechnic,https://openalex.org/I182722699,Jiangsu Provincial Academy of Environmental Science,https://openalex.org/I4210140193,Queensland University of Technology,https://openalex.org/I160993911,Queensland University of Technology,https://openalex.org/I160993911,,,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,,,Zhejiang University,https://openalex.org/I76130692,,,Nanjing Forestry University,https://openalex.org/I167027274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaokang Chen,A5101412831,6,,,Hubei University of Technology,https://openalex.org/I74525822,China Three Gorges University,https://openalex.org/I161350542,University of Science and Technology of China,https://openalex.org/I126520041,University of Science and Technology of China,https://openalex.org/I126520041,Japan Agency for Marine-Earth Science and Technology,https://openalex.org/I1315852903,,,Changzhou University,https://openalex.org/I4210153482,,,,,,,,,,,,,Chinese Academy of Fishery Sciences,https://openalex.org/I46529539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuang Zhou,A5101508494,3,Fujian Medical University,https://openalex.org/I129708740,,,,,,,,,,,Nanjing University of Posts and Telecommunications,https://openalex.org/I41198531,Southeast University,https://openalex.org/I76569877,Southeast University,https://openalex.org/I76569877,,,Southeast University,https://openalex.org/I76569877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaoqing Wu,A5101533376,6,,,State Key Laboratory of Respiratory Disease,https://openalex.org/I4210154954,Inner Mongolia Comprehensive Disease Prevention and Control Center,https://openalex.org/I4210123164,Guangzhou Medical University,https://openalex.org/I92039509,,,Guangzhou Medical University,https://openalex.org/I92039509,Guangzhou Medical University,https://openalex.org/I92039509,Guangzhou Women and Children Medical Center,https://openalex.org/I4210105982,New York University,https://openalex.org/I57206974,Guangzhou Medical University,https://openalex.org/I92039509,Guangzhou Women and Children Medical Center,https://openalex.org/I4210105982,Guangzhou Medical University,https://openalex.org/I92039509,,,,,Jining First People's Hospital,https://openalex.org/I4210136826,,,,,,,,,Guangzhou Medical University,https://openalex.org/I92039509,,,,,,,,,,,,,,,,,,,,,,
Zhen Huang,A5101653729,8,,,Jiangxi University of Science and Technology,https://openalex.org/I4510145,Henan Polytechnic University,https://openalex.org/I4210166499,Capital Medical University,https://openalex.org/I183519381,Tsinghua University,https://openalex.org/I99065089,Nanjing University,https://openalex.org/I881766915,Auburn University,https://openalex.org/I82497590,State Key Laboratory for Geomechanics and Deep Underground Engineering,https://openalex.org/I4391768053,Nanjing University,https://openalex.org/I881766915,China University of Mining and Technology,https://openalex.org/I25757504,China University of Mining and Technology,https://openalex.org/I25757504,China University of Mining and Technology,https://openalex.org/I25757504,China University of Mining and Technology,https://openalex.org/I25757504,Nanjing University,https://openalex.org/I881766915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanping Huang,A5101749154,5,,,Institute of High Pressure Physics,https://openalex.org/I4210091332,Sichuan University,https://openalex.org/I24185976,Nanjing Forestry University,https://openalex.org/I167027274,Nanjing Forestry University,https://openalex.org/I167027274,Nanjing Forestry University,https://openalex.org/I167027274,Sichuan University,https://openalex.org/I24185976,Hunan University,https://openalex.org/I16609230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East China Normal University,https://openalex.org/I66867065,,,,,,,,
Liang Zhao,A5101780128,6,The First People's Hospital of Shunde,https://openalex.org/I4210098425,Chinese Research Academy of Environmental Sciences,https://openalex.org/I4210156332,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210140813,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210140813,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210140813,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210140813,Zhujiang Hospital,https://openalex.org/I4210120929,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210140813,Nanfang Hospital,https://openalex.org/I4210103346,Nanfang Hospital,https://openalex.org/I4210103346,,,,,Huangshi Central Hospital,https://openalex.org/I4210161227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meng Li,A5101815738,4,,,Tongji Hospital,https://openalex.org/I4210160344,Bridge University,https://openalex.org/I4210096386,Tongji Hospital,https://openalex.org/I4210160344,Hebei Agricultural University,https://openalex.org/I108160477,Henan Institute of Science and Technology,https://openalex.org/I4210163247,,,,,,,,,Henan Institute of Science and Technology,https://openalex.org/I4210163247,,,Henan Institute of Science and Technology,https://openalex.org/I4210163247,Henan Institute of Science and Technology,https://openalex.org/I4210163247,Henan Institute of Science and Technology,https://openalex.org/I4210163247,,,,,Hebei Agricultural University,https://openalex.org/I108160477,Henan Institute of Science and Technology,https://openalex.org/I4210163247,,,,,,,,,,,,,,,,,,,,,,,,
Yuxuan Liu,A5102651090,2,,,Collaborative Innovation Center of Chemical Science and Engineering Tianjin,https://openalex.org/I4210151209,Beijing Forestry University,https://openalex.org/I31683504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaowen Sun,A5104180229,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Zhang,A5108346243,3,,,West China Hospital of Sichuan University,https://openalex.org/I4210089761,,,,,Anhui Medical University,https://openalex.org/I197869895,,,,,,,,,,,Chinese Center For Disease Control and Prevention,https://openalex.org/I184490438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinyi Zhou,A5111292232,2,China Jiliang University,https://openalex.org/I55538621,,,,,,,Anhui Medical University,https://openalex.org/I197869895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaojin Shen,A5111323358,2,,,,,Shaoxing People's Hospital,https://openalex.org/I4210160695,,,,,First People's Hospital of Yunnan Province,https://openalex.org/I4210091044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jian Liang,A5112183358,3,,,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,Nanyang Technological University,https://openalex.org/I172675005,,,Guangdong University of Technology,https://openalex.org/I139024713,Guangdong University of Technology,https://openalex.org/I139024713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. J. Chen,A5112374713,1,,,,,,,,,,,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z. Z. Ren,A5113209526,1,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingyang Yuan,A5113747152,5,,,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,,,Nanjing University,https://openalex.org/I881766915,Zhengzhou University,https://openalex.org/I38877650,,,,,,,,,,,,,,,Xiamen University,https://openalex.org/I191208505,,,,,,,North China Electric Power University,https://openalex.org/I153473198,,,,,,,,,,,,,,,,,,,,,,
Zhongyu Zhang,A5115604997,9,Second Affiliated Hospital of Harbin Medical University,https://openalex.org/I4210132813,Chengdu University of Technology,https://openalex.org/I31595395,,,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,Beijing Institute of Technology,https://openalex.org/I125839683,,,New York Institute of Technology,https://openalex.org/I4210104314,Qujing Normal University,https://openalex.org/I4210105365,,,,,,,"Changchun Institute of Optics, Fine Mechanics and Physics",https://openalex.org/I4210088164,,,,,,,,,,,,,,,,,Changchun University of Science and Technology,https://openalex.org/I106645853,Chinese Academy of Sciences,https://openalex.org/I19820366,,,,,,,,
Jin Chen,A5100394926,5,,,Renmin Hospital of Wuhan University,https://openalex.org/I4210140357,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I4210118728,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I4210118728,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I4210118728,Tsinghua University,https://openalex.org/I99065089,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I4210118728,Fuzhou University,https://openalex.org/I80947539,Fuzhou University,https://openalex.org/I80947539,"China University of Petroleum, Beijing",https://openalex.org/I204553293,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I4210118728,"China University of Petroleum, Beijing",https://openalex.org/I204553293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leyi Xia,A5107939686,3,,,University of Science and Technology of China,https://openalex.org/I126520041,,,,,University of Warwick,https://openalex.org/I39555362,University of Science and Technology of China,https://openalex.org/I126520041,,,University of Adelaide,https://openalex.org/I5681781,University of Adelaide,https://openalex.org/I5681781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. L. Jin,A5109083484,5,,,,,Anyang Academy of Agricultural Sciences,https://openalex.org/I4210104895,,,,,,,Sichuan Agricultural University,https://openalex.org/I37574244,,,Sichuan Agricultural University,https://openalex.org/I37574244,,,,,,,Gansu Agricultural University,https://openalex.org/I16295237,,,,,,,,,,,,,Chonnam National University,https://openalex.org/I111277659,,,,,,,,,,,,,,,,,Hunter College,https://openalex.org/I39694355,,,,
Ruizhe Pan,A5008212048,2,,,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,,,Peking Union Medical College Hospital,https://openalex.org/I2801228662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. S. Li,A5002461029,4,,,Jilin University,https://openalex.org/I194450716,Xidian University,https://openalex.org/I149594827,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,,,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,Third Affiliated Hospital of Sun Yat-sen University,https://openalex.org/I4210146956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Wang,A5100451016,5,Qingdao University,https://openalex.org/I108688024,Shihezi University,https://openalex.org/I102208913,Tianjin Medical University,https://openalex.org/I5740404,Tianjin Medical University,https://openalex.org/I5740404,Tianjin Medical University,https://openalex.org/I5740404,Huazhong University of Science and Technology,https://openalex.org/I47720641,Shanxi Medical University,https://openalex.org/I17721919,Tianjin Medical University,https://openalex.org/I5740404,Qingdao University,https://openalex.org/I108688024,Qingdao University,https://openalex.org/I108688024,Tianjin Medical University,https://openalex.org/I5740404,Tianjin Medical University,https://openalex.org/I5740404,,,,,,,Tianjin Medical University,https://openalex.org/I5740404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. L. Xiao,A5001162491,5,Xiangtan University,https://openalex.org/I4610292,Southwest Petroleum University,https://openalex.org/I165745306,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,,,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,,,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,Southwest Petroleum University,https://openalex.org/I165745306,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,China Shenhua Energy (China),https://openalex.org/I4210142993,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,https://openalex.org/I4210098205,,,Shengli Oilfield Central Hospital,https://openalex.org/I4210121984,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiangyue Jin,A5070066511,6,Henan Provincial People's Hospital,https://openalex.org/I4210133534,Wenzhou Medical University,https://openalex.org/I27781120,First Affiliated Hospital Zhejiang University,https://openalex.org/I4210166576,Henan Provincial People's Hospital,https://openalex.org/I4210133534,Hubei University of Medicine,https://openalex.org/I1285929390,First Affiliated Hospital of Harbin Medical University,https://openalex.org/I4210156501,First Affiliated Hospital of Harbin Medical University,https://openalex.org/I4210156501,Wenzhou Medical University,https://openalex.org/I27781120,Wenzhou Medical University,https://openalex.org/I27781120,First Affiliated Hospital of Harbin Medical University,https://openalex.org/I4210156501,Shandong University,https://openalex.org/I154099455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xianzu Wang,A5002303194,2,,,Chinese Academy of Sciences,https://openalex.org/I19820366,,,,,,,Shanghai Astronomical Observatory,https://openalex.org/I2799714274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
