Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985,affiliation-1984,ID-1984,affiliation-1983,ID-1983,affiliation-1982,ID-1982,affiliation-1979,ID-1979,affiliation-1976,ID-1976,affiliation-1962,ID-1962,affiliation-1959,ID-1959,affiliation-1944,ID-1944,affiliation-1936,ID-1936,affiliation-1923,ID-1923
Amy Cyphert,A5042134422,1,,,Virginia College,https://openalex.org/I2800680523,Virginia College,https://openalex.org/I2800680523,Virginia College,https://openalex.org/I2800680523,,,Virginia College,https://openalex.org/I2800680523,Virginia College,https://openalex.org/I2800680523,,,Virginia College,https://openalex.org/I2800680523,Virginia College,https://openalex.org/I2800680523,,,Virginia College,https://openalex.org/I2800680523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Doumanoglou,A5064058456,2,,,,,,,,,,,,,,,,,China Philanthropy Research Institute,https://openalex.org/I4210144971,Imperial College London,https://openalex.org/I47508984,Imperial College London,https://openalex.org/I47508984,Imperial College London,https://openalex.org/I47508984,Imperial College London,https://openalex.org/I47508984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Terzis,A5103331911,10,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,University of Patras,https://openalex.org/I174878644,Film Independent,https://openalex.org/I4210121988,,,University of Patras,https://openalex.org/I174878644,Johns Hopkins University,https://openalex.org/I145311948,University of Patras,https://openalex.org/I174878644,Google (United States),https://openalex.org/I1291425158,University of Patras,https://openalex.org/I174878644,University of Patras,https://openalex.org/I174878644,University of Patras,https://openalex.org/I174878644,University of Patras,https://openalex.org/I174878644,George Washington University,https://openalex.org/I193531525,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,University of Patras,https://openalex.org/I174878644,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,University of Patras,https://openalex.org/I174878644,Foundation for Research and Technology Hellas,https://openalex.org/I8901234,University of Patras,https://openalex.org/I174878644,University of Patras,https://openalex.org/I174878644,University of Patras,https://openalex.org/I174878644,,,,,University of Patras,https://openalex.org/I174878644,The University of Tokyo,https://openalex.org/I74801974,University of Illinois Urbana-Champaign,https://openalex.org/I157725225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angeliki Lazaridou,A5042659302,9,,,University of Thessaly,https://openalex.org/I145722265,University of Thessaly,https://openalex.org/I145722265,Telio (Norway),https://openalex.org/I2801177623,Meta (United States),https://openalex.org/I4210114444,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,University of Thessaly,https://openalex.org/I145722265,University of Trento,https://openalex.org/I193223587,New York University,https://openalex.org/I57206974,University of Trento,https://openalex.org/I193223587,University of Trento,https://openalex.org/I193223587,University of Trento,https://openalex.org/I193223587,University of Trento,https://openalex.org/I193223587,,,National and Kapodistrian University of Athens,https://openalex.org/I200777214,,,University of Nicosia,https://openalex.org/I17389662,Intercollege,https://openalex.org/I4210099340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Dedieu,A5091131733,2,,,Google (United Kingdom),https://openalex.org/I4210113297,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armand Joulin,A5107859338,9,,,,,,,Meta (United Kingdom),https://openalex.org/I4210111288,University College London,https://openalex.org/I45129253,Meta (Israel),https://openalex.org/I2252078561,Meta (Israel),https://openalex.org/I2252078561,University of Edinburgh,https://openalex.org/I98677209,Meta (United States),https://openalex.org/I4210114444,Meta (United States),https://openalex.org/I4210114444,Stanford University,https://openalex.org/I97018004,Meta (United States),https://openalex.org/I4210114444,Stanford University,https://openalex.org/I97018004,Institut national de recherche en informatique et en automatique,https://openalex.org/I1326498283,École Normale Supérieure,https://openalex.org/I4210103330,Laboratoire de Géologie de l’École Normale Supérieure,https://openalex.org/I4210162280,Laboratoire de Géologie de l’École Normale Supérieure,https://openalex.org/I4210162280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babak Samari,A5052565533,1,,,,,,,,,,,,,McGill University,https://openalex.org/I5023651,McGill University,https://openalex.org/I5023651,McGill University,https://openalex.org/I5023651,McGill University,https://openalex.org/I5023651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahare Fatemi,A5063661444,1,,,,,,,,,,,University of British Columbia,https://openalex.org/I141945490,University of British Columbia,https://openalex.org/I141945490,University of British Columbia,https://openalex.org/I141945490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Hora,A5120056008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biao Zhang,A5100363719,9,,,Soochow University,https://openalex.org/I3923682,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,Beijing Advanced Sciences and Innovation Center,https://openalex.org/I4210165198,Minjiang University,https://openalex.org/I354108,Soochow University,https://openalex.org/I3923682,Xiamen University,https://openalex.org/I191208505,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,Jilin University,https://openalex.org/I194450716,,,,,,,Hefei University of Technology,https://openalex.org/I16365422,,,,,Hebei Normal University,https://openalex.org/I94611258,,,Hebei Normal University,https://openalex.org/I94611258,Hebei Normal University,https://openalex.org/I94611258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair Chen,A5114141711,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Potetz,A5120056009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. K. Yip,A5045065945,6,,,Tung Wah College,https://openalex.org/I107182072,Tung Wah College,https://openalex.org/I107182072,Tung Wah College,https://openalex.org/I107182072,Tung Wah College,https://openalex.org/I107182072,,,,,Toronto Public Health,https://openalex.org/I184430034,,,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,https://openalex.org/I14243506,Kwai Chung Hospital,https://openalex.org/I2801745840,,,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,Novem (Netherlands),https://openalex.org/I4210090073,,,,,,,,,,,,,,,,,,,,,,,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,,,,,,,,,,,,,,,,,,,,,,,Lancaster University,https://openalex.org/I67415387,,,Lancaster University,https://openalex.org/I67415387,,,,,,,,,,,,,,
Chad Brick,A5032173284,5,,,,,,,,,Temple University,https://openalex.org/I84392919,,,,,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,Caerus Molecular Diagnostics (United States),https://openalex.org/I4210129774,,,,,,,,,,,,,University of Milan,https://openalex.org/I189158943,,,,,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,University of Michigan–Ann Arbor,https://openalex.org/I27837315,,,,,Karlstad University,https://openalex.org/I43968019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher A. Choquette-Choo,A5063017186,5,Michael & Associates,https://openalex.org/I4210131859,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,Brain (Germany),https://openalex.org/I4210113520,,,Vector Institute,https://openalex.org/I4210127509,Vector Institute,https://openalex.org/I4210127509,University of Toronto,https://openalex.org/I185261750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher De,A5041869459,2,,,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahun Kim,A5084688455,5,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,Brain (Germany),https://openalex.org/I4210113520,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Korea Institute of Science & Technology Information,https://openalex.org/I878022262,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Daejeon Institute of Science and Technology,https://openalex.org/I4210134443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Cer,A5073726152,7,,,,,,,,,University of Massachusetts Amherst,https://openalex.org/I24603500,"University of California, Berkeley",https://openalex.org/I95457486,Google (United States),https://openalex.org/I1291425158,NTT (Japan),https://openalex.org/I2251713219,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,University of Colorado System,https://openalex.org/I2802236040,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,University of Colorado Boulder,https://openalex.org/I188538660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel E. Ho,A5102614290,2,,,Stanford University,https://openalex.org/I97018004,Stanford Medicine,https://openalex.org/I4210137306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Salz,A5065353057,1,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bau,A5033305045,8,,,Universidad del Noreste,https://openalex.org/I87182695,Universidad del Noreste,https://openalex.org/I87182695,Northeastern University,https://openalex.org/I9224756,Universidad del Noreste,https://openalex.org/I87182695,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Phillips Exeter Academy,https://openalex.org/I2800015558,University of Minnesota Crookston,https://openalex.org/I4210159608,,,,,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,Cornell University,https://openalex.org/I205783295,,,,,,,Microsoft (United States),https://openalex.org/I1290206253,,,Cornell University,https://openalex.org/I205783295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divyashree Sreepathihalli,A5120056005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Chi,A5061612396,1,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar A. Duéñez‐Guzmán,A5061221525,7,,,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,,,,,KU Leuven,https://openalex.org/I99464096,KU Leuven,https://openalex.org/I99464096,KU Leuven,https://openalex.org/I99464096,KU Leuven,https://openalex.org/I99464096,Harvard University Press,https://openalex.org/I2801851002,Harvard University,https://openalex.org/I136199984,University of Tennessee at Knoxville,https://openalex.org/I75027704,University of Tennessee at Knoxville,https://openalex.org/I75027704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleni Triantafillou,A5091334872,5,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United Kingdom),https://openalex.org/I4210113297,,,,,,,National Public Health Organization,https://openalex.org/I4210147585,,,Metaxa Hospital,https://openalex.org/I4210132093,,,Metaxa Hospital,https://openalex.org/I4210132093,Hellenic Center for Disease Control & Prevention,https://openalex.org/I94353236,,,Hellenic Center for Disease Control & Prevention,https://openalex.org/I94353236,,,,,Hellenic Center for Disease Control & Prevention,https://openalex.org/I94353236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrique Alfonseca,A5091708404,4,,,,,,,Google (United States),https://openalex.org/I1291425158,Google (Switzerland),https://openalex.org/I4210100430,,,,,Stanford University,https://openalex.org/I97018004,,,Google (Switzerland),https://openalex.org/I4210100430,,,Google (Switzerland),https://openalex.org/I4210100430,Google (United States),https://openalex.org/I1291425158,Google (Switzerland),https://openalex.org/I4210100430,Google (Switzerland),https://openalex.org/I4210100430,Google (Switzerland),https://openalex.org/I4210100430,Google (Switzerland),https://openalex.org/I4210100430,Google (Switzerland),https://openalex.org/I4210100430,Universidad Autónoma de Madrid,https://openalex.org/I63634437,Universidad Autónoma de Madrid,https://openalex.org/I63634437,Universidad Autónoma de Madrid,https://openalex.org/I63634437,Universidad Autónoma de Madrid,https://openalex.org/I63634437,Universidad Autónoma de Madrid,https://openalex.org/I63634437,Universidad Autónoma de Madrid,https://openalex.org/I63634437,Universidad Autónoma de Madrid,https://openalex.org/I63634437,,,Universidad Autónoma de Madrid,https://openalex.org/I63634437,,,Universidad Autónoma de Madrid,https://openalex.org/I63634437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Dyer,A5010086803,8,,,Western Michigan University,https://openalex.org/I141649380,Google (United States),https://openalex.org/I1291425158,Yale University,https://openalex.org/I32971472,Stanford University,https://openalex.org/I97018004,Johns Hopkins Medicine,https://openalex.org/I2799853436,Google (United States),https://openalex.org/I1291425158,University Hospital Lewisham,https://openalex.org/I4210157707,University of Baltimore,https://openalex.org/I6059380,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,,,,,,,,,Columbia University,https://openalex.org/I78577930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feiyang Chen,A5102837388,4,Shanghai Jiao Tong University,https://openalex.org/I183067930,Wuhan Institute of Technology,https://openalex.org/I91125648,Hainan University,https://openalex.org/I20942203,,,,,,,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Jiao Tong University,https://openalex.org/I183067930,,,,,,,Collaborative Innovation Center of Chemical Science and Engineering Tianjin,https://openalex.org/I4210151209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feng Han,A5101224272,4,,,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210140813,Hainan Medical University,https://openalex.org/I79731167,China Railway Construction Corporation (China),https://openalex.org/I4210133882,,,,,,,,,,,,,,,,,Wuhan Children's Hospital,https://openalex.org/I4210142622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Delgado,A5040999406,5,,,Cornell University,https://openalex.org/I205783295,,,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,,,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,,,,,,,,,,,,,Banco Central del Uruguay,https://openalex.org/I4210114270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johns Hopkins Medicine,https://openalex.org/I2799853436,,,,,,,,,,,,,,,,,Johns Hopkins Medicine,https://openalex.org/I2799853436,,,,,,,Johns Hopkins University Applied Physics Laboratory,https://openalex.org/I2802946424,Johns Hopkins University,https://openalex.org/I145311948,,,,,,,,,,,,,,
Francesco Visin,A5072811055,3,,,,,,,,,,,Google (United States),https://openalex.org/I1291425158,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Politecnico di Milano,https://openalex.org/I93860229,Politecnico di Milano,https://openalex.org/I93860229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
